id,original,segmented,tagged
11,پر هغه فطرت ټینګ شه چي پر هغه باندي الله تعالی انسانان پيدا کړي دي,پرBهغهBفطرتBټینګBشهBچيBپرBهغهBبانديBاللهSتعالیBانسانانBپيداBکړيBدي,"[[""پر"", ""IN""], [""هغه"", ""DT""], [""فطرت"", ""NN.C.1.M""], [""ټینګ"", ""JJ""], [""شه"", ""VB.IMP""], [""چي"", ""CC""], [""پر"", ""IN""], [""هغه"", ""DT""], [""باندي"", ""PT""], [""الله تعالی"", ""NN.P""], [""انسانان"", ""NN.C.2""], [""پيدا"", ""JJ""], [""کړي"", ""VB.DX""], [""دي"", ""VB.PC""]]"
12,ډېر کوونکی دی هغه څه لره چې دی يې اراده وکړي,ډېرBکوونکیBدیBهغهBڅهBلرهBچېBدیBيېBارادهBوکړي,"[[""ډېر"",""JJ""],[""کوونکی"",""NN.C.1.M""],[""دی"",""VB.PC""],[""هغه"",""DT""],[""څه"",""RB""],[""لره"",""PT""],[""چې"",""CC""],[""دی"",""PR.P.iii""],[""يې"",""PR.C""],[""اراده"",""NN.C.1.F""],[""وکړي"",""VB.H""]]"
13,چې له کبله یې ۱۹ کسان وژل شوي او ۱۰ بې درکه دي,چېBلهSکبلهBیېB۱۹BکسانBوژلBشويBاوB۱۰BبېSدرکهBدي,"[[""چې"", ""CC""], [""له کبله"", ""RB""], [""یې"", ""PR.C""], [""۱۹"", ""NB""], [""کسان"", ""NN.C.2""], [""وژل"", ""VB.INF""], [""شوي"", ""VB.DX""], [""او"", ""CC""], [""۱۰"", ""NB""], [""بې درکه"", ""JJ""], [""دي"", ""VB.PC""]]"
14,خو یوه ورځ یې پلار ټوخی پیل کړ او روغتون ته یوړل شو,خوBیوهBورځBیېBپلارBټوخیBپیلBکړBاوBروغتونBتهBیوړلBشو,"[[""خو"",""CC""],[""یوه"",""DT""],[""ورځ"",""NN.C.1.F""],[""یې"",""PR.C""],[""پلار"",""NN.C.1.M""],[""ټوخی"",""NN.C.1.M""],[""پیل"",""JJ""],[""کړ"",""VB.DX""],[""او"",""CC""],[""روغتون"",""NN.C.1.M""],[""ته"",""PT""],[""یوړل"",""VB.D""],[""شو"",""VB.DX""]]"
15,"د چمتوالي خبرداری د روغتیا نړیوال سازمان وايي ، ټول هېوادونه باید د کورونا وېروس نوې بڼې مخنیوي لپاره چمتوالی وکړي","دBچمتواليBخبرداریBدBروغتیاBنړیوالBسازمانBواييB،BټولBهېوادونهBبایدBدBکوروناSوېروسBنوېBبڼېBمخنیويBلپارهBچمتوالیBوکړي","[[""د"",""IN""],[""چمتوالي"",""NN.C.1.M""],[""خبرداری"",""NN.C.1.M""],[""د"",""IN""],[""روغتیا"",""NN.C.1.M""],[""نړیوال"",""JJ""],[""سازمان"",""NN.C.1.M""],[""وايي"",""VB.P""],[""،"",""PU""],[""ټول"",""JJ""],[""هېوادونه"",""NN.C.2""],[""باید"",""JJ""],[""د"",""IN""],[""کورونا وېروس"",""NN.P""],[""نوې"",""JJ""],[""بڼې"",""NN.C.1.F""],[""مخنیوي"",""NN.C.1.M""],[""لپاره"",""PT""],[""چمتوالی"",""NN.C.1.M""],[""وکړي"",""VB.H""]]"
16,اسرائیل د ایران د اتومي تړون کلک مخالف دي,اسرائیلBدBایرانBدBاتوميBتړونBکلکBمخالفBدي,"[[""اسرائیل"", ""NN.P""], [""د"", ""IN""], [""ایران"", ""NN.P""], [""د"", ""IN""], [""اتومي"", ""JJ""], [""تړون"", ""NN.C.1.M""], [""کلک"", ""JJ""], [""مخالف"", ""JJ""], [""دي"", ""VB.PC""]]"
17,افغان خبریال بلال سروري هم په خپل ټویټر کې د هغه د وژلو خبر او د هغه د موسیقۍ یوه لنډه ویډیو خپره کړې ده,افغانBخبریالBبلالSسروريBهمBپهBخپلBټویټرBکېBدBهغهBدBوژلوBخبرBاوBدBهغهBدBموسیقۍBیوهBلنډهBویډیوBخپرهBکړېBده,"[[""افغان"",""JJ""],[""خبریال"",""NN.C.1.M""],[""بلال سروري"",""NN.P""],[""هم"",""RB""],[""په"",""IN""],[""خپل"",""JJ""],[""ټویټر"",""NN.P""],[""کې"",""PT""],[""د"",""IN""],[""هغه"",""PR.P.iii""],[""د"",""IN""],[""وژلو"",""VB.G""],[""خبر"",""NN.C.1.M""],[""او"",""CC""],[""د"",""IN""],[""هغه"",""PR.P.iii""],[""د"",""IN""],[""موسیقۍ"",""NN.C.1.F""],[""یوه"",""DT""],[""لنډه"",""JJ""],[""ویډیو"",""NN.C.1.F""],[""خپره"",""JJ""],[""کړې"",""VB.DX""],[""ده"",""VB.PC""]]"
18,چې افغانان وروسته له ۲۰۱۴ ميلادي کاله د افغانستان د برخليک په اړه فکر وکړي,چېBافغانانBوروستهBلهB۲۰۱۴BميلاديBکالهBدBافغانستانBدBبرخليکBپهBاړهBفکرBوکړي,"[[""چې"",""CC""],[""افغانان"",""NN.C.2""],[""وروسته"",""RB""],[""له"",""IN""],[""۲۰۱۴"",""NB""],[""ميلادي"",""JJ""],[""کاله"",""NN.C.1.M""],[""د"",""IN""],[""افغانستان"",""NN.P""],[""د"",""IN""],[""برخليک"",""NN.C.1.M""],[""په"",""IN""],[""اړه"",""NN.C.1.F""],[""فکر"",""NN.C.1.M""],[""وکړي"",""VB.H""]]"
19,"دا شمېر د اتریش پرتله یو څه ډېر دی ، خو خورا زیات نه دی","داBشمېرBدBاتریشBپرتلهBیوBڅهBډېرBدیB،BخوBخوراBزیاتBنهBدی","[[""دا"",""DT""],[""شمېر"",""NN.C.1.M""],[""د"",""IN""],[""اتریش"",""NN.P""],[""پرتله"",""RB""],[""یو"",""DT""],[""څه"",""RB""],[""ډېر"",""JJ""],[""دی"",""VB.PC""],[""،"",""PU""],[""خو"",""CC""],[""خورا"",""JJ""],[""زیات"",""JJ""],[""نه"",""NG""],[""دی"",""VB.PC""]]"
20,پلی مزل ساده او اسانه فعالیت دی خو روغتيا ته ډېره ګټه لري او د ګڼو ناروغيو مخه نيسي,پلیBمزلBسادهBاوBاسانهBفعالیتBدیBخوBروغتياBتهBډېرهBګټهBلريBاوBدBګڼوBناروغيوBمخهBنيسي,"[[""پلی"",""NN.C.1.M""],[""مزل"",""NN.C.1.M""],[""ساده"",""JJ""],[""او"",""CC""],[""اسانه"",""JJ""],[""فعالیت"",""NN.C.1.M""],[""دی"",""VB.PC""],[""خو"",""CC""],[""روغتيا"",""NN.C.1.F""],[""ته"",""PT""],[""ډېره"",""JJ""],[""ګټه"",""NN.C.1.F""],[""لري"",""VB.P""],[""او"",""CC""],[""د"",""IN""],[""ګڼو"",""JJ""],[""ناروغيو"",""NN.C.2""],[""مخه"",""NN.C.1.F""],[""نيسي"",""VB.P""]]"
21,د کرکټ په نړۍ کې داسي لوبغاړي هم شته چې د شپږيزې وهلو څخه علاوه هم غوره او پياوړې لوبغاړي دي,دBکرکټBپهBنړۍBکېBداسيBلوبغاړيBهمBشتهBچېBدBشپږيزېBوهلوBڅخهBعلاوهBهمBغورهBاوBپياوړېBلوبغاړيBدي,"[[""د"", ""IN""], [""کرکټ"", ""NN.C.1.M""], [""په"", ""IN""], [""نړۍ"", ""NN.C.1.F""], [""کې"", ""PT""], [""داسي"", ""RB""], [""لوبغاړي"", ""NN.C.2""], [""هم"", ""RB""], [""شته"", ""NN.C.1.F""], [""چې"", ""CC""], [""د"", ""IN""], [""شپږيزې"", ""NN.C.1.F""], [""وهلو"", ""VB.G""], [""څخه"", ""PT""], [""علاوه"", ""JJ""], [""هم"", ""RB""], [""غوره"", ""JJ""], [""او"", ""CC""], [""پياوړې"", ""JJ""], [""لوبغاړي"", ""NN.C.2""], [""دي"", ""VB.PC""]]"
22,چې تصدیق کوونکی دی د هغه څه چې له دوی سره دي,چېBتصدیقBکوونکیBدیBدBهغهBڅهBچېBلهBدویBسرهBدي,"[[""چې"", ""CC""], [""تصدیق"", ""NN.C.1.M""], [""کوونکی"", ""NN.C.1.M""], [""دی"", ""VB.PC""], [""د"", ""IN""], [""هغه"", ""DT""], [""څه"", ""RB""], [""چې"", ""CC""], [""له"", ""IN""], [""دوی"", ""PR.P.iii""], [""سره"", ""PT""], [""دي"", ""VB.PC""]]"
23,په اوسط ډول ما د ورځې له ۱۴ څخه ۱۶ ساعته کار کوه,پهBاوسطBډولBماBدBورځېBلهB۱۴BڅخهB۱۶BساعتهBکارBکوه,"[[""په"",""IN""],[""اوسط"",""NN.C.1.M""],[""ډول"",""NN.C.1.M""],[""ما"",""PR.P.i""],[""د"",""IN""],[""ورځې"",""NN.C.1.F""],[""له"",""IN""],[""۱۴"",""NB""],[""څخه"",""PT""],[""۱۶"",""NB""],[""ساعته"",""NN.C.2""],[""کار"",""NN.C.1.M""],[""کوه"",""VB.D""]]"
24,لیکنه ډاکتره پلوشه حلیم په وروستیو دوو لسیزو کې په پرمختللیو هیوادونو کې د جراحي عملیاتو له لارې,لیکنهBډاکترهBپلوشهBحلیمBپهBوروستیوBدووBلسیزوBکېBپهBپرمختللیوBهیوادونوBکېBدBجراحيBعملیاتوBلهBلارې,"[[""لیکنه"",""NN.C.1.F""],[""ډاکتره"",""NN.C.1.F""],[""پلوشه"",""NN.C.1.F""],[""حلیم"",""JJ""],[""په"",""IN""],[""وروستیو"",""JJ""],[""دوو"",""NB""],[""لسیزو"",""NN.C.2""],[""کې"",""PT""],[""په"",""IN""],[""پرمختللیو"",""JJ""],[""هیوادونو"",""NN.C.2""],[""کې"",""PT""],[""د"",""IN""],[""جراحي"",""NN.C.1.F""],[""عملیاتو"",""NN.C.2""],[""له"",""IN""],[""لارې"",""NN.C.1.F""]]"
25,لومړۍ ستونزه مو د هېواد د ماشومانو په اړه,لومړۍBستونزهBموBدBهېوادBدBماشومانوBپهBاړه,"[[""لومړۍ"", ""JJ""], [""ستونزه"", ""NN.C.1.F""], [""مو"", ""PR.C""], [""د"", ""IN""], [""هېواد"", ""NN.C.1.M""], [""د"", ""IN""], [""ماشومانو"", ""NN.C.2""], [""په"", ""IN""], [""اړه"", ""NN.C.1.F""]]"
26,"خبريال ويب پاڼه د تالبانو حکومت د راتلوونکي مالي کال لپاره د بودجې د ترتيب خبر ورکړی ، او ويلي يې دي چې ډير ژر به د وزيرانو شورا ته د تصويب لپاره ولاړه شي","خبريالBويبSپاڼهBدBتالبانوBحکومتBدBراتلوونکيBماليBکالBلپارهBدBبودجېBدBترتيبBخبرBورکړیB،BاوBويليBيېBديBچېBډيرBژرBبهBدBوزيرانوBشوراBتهBدBتصويبBلپارهBولاړهBشي","[[""خبريال"",""NN.C.1.M""],[""ويب پاڼه"",""NN.C.1.M""],[""د"",""IN""],[""تالبانو"",""NN.C.2""],[""حکومت"",""NN.C.1.M""],[""د"",""IN""],[""راتلوونکي"",""JJ""],[""مالي"",""JJ""],[""کال"",""NN.C.1.M""],[""لپاره"",""PT""],[""د"",""IN""],[""بودجې"",""NN.C.1.F""],[""د"",""IN""],[""ترتيب"",""NN.C.1.M""],[""خبر"",""NN.C.1.M""],[""ورکړی"",""VB.D""],[""،"",""PU""],[""او"",""CC""],[""ويلي"",""VB.D""],[""يې"",""PR.C""],[""دي"",""VB.PC""],[""چې"",""CC""],[""ډير"",""JJ""],[""ژر"",""RB""],[""به"",""BA""],[""د"",""IN""],[""وزيرانو"",""NN.C.2""],[""شورا"",""NN.C.1.F""],[""ته"",""PT""],[""د"",""IN""],[""تصويب"",""NN.C.1.M""],[""لپاره"",""PT""],[""ولاړه"",""VB.D""],[""شي"",""VB.H""]]"
27,"خبريال وېبپاڼه د طالبانو وياندویان تل پخپلو تلویزیوني مرکو ، اعلاميو او کنفرانسونو کې دا خبره په بيابيا کوي چې دوی په جګړه باور نه لري او په دې فکر دي چې د افغانستان ستونزې بايد د خبرو له لارې حل شي","خبريالBوېبپاڼهBدBطالبانوBوياندویانBتلBپخپلوBتلویزیونيBمرکوB،BاعلاميوBاوBکنفرانسونوBکېBداBخبرهBپهBبيابياBکويBچېBدویBپهBجګړهBباورBنهBلريBاوBپهBدېBفکرBديBچېBدBافغانستانBستونزېBبايدBدBخبروBلهBلارېBحلBشي","[[""خبريال"",""NN.C.1.M""],[""وېبپاڼه"",""NN.C.1.F""],[""د"",""IN""],[""طالبانو"",""NN.C.2""],[""وياندویان"",""NN.C.2""],[""تل"",""RB""],[""پخپلو"",""JJ""],[""تلویزیوني"",""JJ""],[""مرکو"",""NN.C.2""],[""،"",""PU""],[""اعلاميو"",""NN.C.2""],[""او"",""CC""],[""کنفرانسونو"",""NN.C.2""],[""کې"",""PT""],[""دا"",""DT""],[""خبره"",""NN.C.1.F""],[""په"",""IN""],[""بيابيا"",""RB""],[""کوي"",""VB.PX""],[""چې"",""CC""],[""دوی"",""PR.P.iii""],[""په"",""IN""],[""جګړه"",""NN.C.1.F""],[""باور"",""NN.C.1.M""],[""نه"",""NG""],[""لري"",""VB.P""],[""او"",""CC""],[""په"",""IN""],[""دې"",""DT""],[""فکر"",""NN.C.1.M""],[""دي"",""VB.PC""],[""چې"",""CC""],[""د"",""IN""],[""افغانستان"",""NN.P""],[""ستونزې"",""NN.C.2""],[""بايد"",""JJ""],[""د"",""IN""],[""خبرو"",""NN.C.2""],[""له"",""IN""],[""لارې"",""NN.C.1.F""],[""حل"",""JJ""],[""شي"",""VB.H""]]"
28,"حکیمي وايي ، په دې برخه کې له جديت کار اخلي او د هېچا خاطر نه کوي","حکیميBواييB،BپهBدېBبرخهBکېBلهBجديتBکارBاخليBاوBدBهېچاBخاطرBنهBکوي","[[""حکیمي"",""NN.P""],[""وايي"",""VB.P""],[""،"",""PU""],[""په"",""IN""],[""دې"",""DT""],[""برخه"",""NN.C.1.F""],[""کې"",""PT""],[""له"",""IN""],[""جديت"",""NN.C.1.M""],[""کار"",""NN.C.1.M""],[""اخلي"",""VB.P""],[""او"",""CC""],[""د"",""IN""],[""هېچا"",""PR.DIS""],[""خاطر"",""NN.C.1.M""],[""نه"",""NG""],[""کوي"",""VB.PX""]]"
29,"داسې لیدل کیږي چې په تیرو دوو ورځو کې د امریکا په کانګرس کې د امریکا د جګپوړو نظامي چارواکو استماعیه غونډې ، په افغانستان کې د ناکامیو په اړه د سترې څیړنې پیل دی","داسېBلیدلBکیږيBچېBپهBتیروBدووBورځوBکېBدBامریکاBپهBکانګرسBکېBدBامریکاBدBجګپوړوBنظاميBچارواکوBاستماعیهBغونډېB،BپهBافغانستانBکېBدBناکامیوBپهBاړهBدBسترېBڅیړنېBپیلBدی","[[""داسې"",""RB""],[""لیدل"",""VB.INF""],[""کیږي"",""VB.P""],[""چې"",""CC""],[""په"",""IN""],[""تیرو"",""JJ""],[""دوو"",""NB""],[""ورځو"",""NN.C.2""],[""کې"",""PT""],[""د"",""IN""],[""امریکا"",""NN.P""],[""په"",""IN""],[""کانګرس"",""NN.P""],[""کې"",""PT""],[""د"",""IN""],[""امریکا"",""NN.P""],[""د"",""IN""],[""جګپوړو"",""JJ""],[""نظامي"",""JJ""],[""چارواکو"",""NN.C.2""],[""استماعیه"",""NN.C.1.F""],[""غونډې"",""NN.C.1.F""],[""،"",""PU""],[""په"",""IN""],[""افغانستان"",""NN.P""],[""کې"",""PT""],[""د"",""IN""],[""ناکامیو"",""NN.C.2""],[""په"",""IN""],[""اړه"",""NN.C.1.F""],[""د"",""IN""],[""سترې"",""JJ""],[""څیړنې"",""NN.C.1.F""],[""پیل"",""NN.C.1.M""],[""دی"",""VB.PC""]]"
